Loan ID,Year,Project Name,Loan (USD M),Country,Region,Borrower,Lender,Lender Type,Sector,Source 1,Source 2
CG.025,2017,Digital Television Migration,147.76,"Congo, Republic of the",CA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
CG.050,2014,"National Telecom, Phase 3 (RMB loan)",74.92,"Congo, Republic of the",CA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
CI.051,2019,Unknown,16.12,Cote d'Ivoire,WA,National Government,Huawei,Contractors,Information and Communication Technology (ICT),http://dgbf.gouv.ci/wp-content/uploads/2019/12/RAPPORT-DE-PRESENTATION-DUPROJET-DE-LOI-DE-REGLEMENT-POUR-LANNEE-2018.pdf,http://www.courdescomptes.ci/fichiers/1640187016Rapportdefinitif_RE.pdf
CM.020,2015,National Fibre-Optic Backbone Expansion,82.34,Cameroon,CA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,https://www.prc.cm/fr/actualites/actes/decrets/1049-decret-n-2014-476-du-2-decembre-2014-habilitant-le-minepat-a-signer-un-accord-de-pret-avec-eximbank-chine
CM.035,2013,Emergency Telecommunication Network,155.55,Cameroon,CA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
CM.036,2012,"National Telecom Broadband Network, Phase I",168.30,Cameroon,CA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
CM.038,2015,"National Broadband Telecommunication Network; South Atlantic Inter Link (SAIL); Zamengoe Data Center, Phase 2",337.12,Cameroon,CA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
CM.066,2018,E-government Trade Facilitation Project,32.63,Cameroon,CA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
CM.071,2018,National Extension of Intelligent Urban Video Surveillance System - Phase I,41.78,Cameroon,CA,National Government,BoC,Commercial Banks ,Information and Communication Technology (ICT),https://www.prc.cm/files/fd/4f/7b/9b8ff83df056bcbf3320ce532cfbb3b2.pdf,
CM.078,2016,Rehabilitation of the CRTV,65.30,Cameroon,CA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
CM.082,2019,National Extension of Intelligent Urban Video Surveillance System - Phase II,41.60,Cameroon,CA,National Government,BoC,Commercial Banks ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
CV.017,2017,E-government Phase II,12.50,Cape Verde,WA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://www.governo.cv/governo-altera-lei-quadro-do-regime-juridico-de-entrada-permanencia-saida-e-expulsao-de-estrangeiros-do-territorio-cabo-verdiano/,https://drive.google.com/file/d/1euibRCrr9Oow2nR3JE7lNpwsKUyLhHiW/view?usp=drive_link
